city_slug,jurisdiction_name
canton,Canton
canton_charter_township%2c_(wayne_co.),Canton Charter Township%2C (Wayne Co.)
cantonil,Canton
cantontx,Canton
canyonlakeca,Canyon Lake
cape_canaveral,Cape Canaveral
cape_carteret,Cape Carteret
cape_charles,Cape Charles
cape_coral,Cape Coral
cape_fear_public_utility_authority,Cape Fear Public Utility Authority
cape_girardeau,Cape Girardeau
carbondaleil,Carbondale
cardington,Cardington
carencro,Carencro
caribou_county,Caribou County
carlsbad,Carlsbad
carlton,Carlton
carlyle,Carlyle
carmel,Carmel
carnation,Carnation
carnegieok,Carnegie
carney,Carney
caro,Caro
carolina_beach,Carolina Beach
caroline_county,Caroline County
carolstream,Carol Stream
carpentersville,Carpentersville
carpinteria,Carpinteria
carrizo_springs,Carrizo Springs
carroll_county,Carroll County
carrollcounty,Carroll County
carrollton,Carrollton
carrollton_township%2c_(saginaw_co.),Carrollton Township%2C (Saginaw Co.)
carson_city,Carson City
carteret_county,Carteret County
carterlakeia,Carter Lake
cartersville,Cartersville
carthage,Carthage
carver,Carver
cary,Cary
casagrande,Casa Grande
cascadeia,Cascade
cascadelocks,Cascade Locks
casco_township%2c_allegan_county,Casco Township%2C Allegan County
cashton,Cashton
casper,Casper
cass_city,Cass City
casselberry,Casselberry
castle_hills,Castle Hills
castle_pines,Castle Pines
castle_rock,Castle Rock
castro_valley_sanitary_district,Castro Valley Sanitary District
caswell_county,Caswell County
catawba_county,Catawba County
cathlamet,Town of Cathlamet
catlettsburgky,Catlettsburg
catoosa,Catoosa
catoosa_county,Catoosa County
cave_junction,Cave Junction
cave_spring,Cave Spring
cavecity,Cave City
cayce,Cayce
cayuga_county,Cayuga County
cedar_city,Cedar City
cedar_creek_township%2c_(muskegon_co.),Cedar Creek Township%2C (Muskegon Co.)
cedar_falls,Cedar Falls
cedar_hill,Cedar Hill
cedar_key,Cedar Key
cedar_rapids,Cedar Rapids
cedar_springs,Cedar Springs
cedarburg,Cedarburg
cedarhillsut,Cedar Hills
cedarville,Cedarville
celina,Celina
centennial,Centennial
center_hill,Center Hill
center_line,Center Line
center_point,Center Point
centercity,Center City
centerville,Centerville
centervillein,Centerville
central,Central
central_contra_costa_sanitary_district,Central Contra Costa Sanitary District
central_falls,Central Falls
centralcityne,Central City
centralia,Centralia
centreville,Centreville
century,Century
ceredo,Ceredo
ceres,Ceres
cerrogordoil,Cerro Gordo
chagrinfalls,Chagrin Falls
challisid,Challis
champaign,Champaign
champlin,Champlin
chandler,Chandler
chandlerok,Chandler
chanhassen,Chanhassen
channahon,Channahon
chanute,Chanute
chapel_hill,Chapel Hill
chapin,Chapin
charles_city_county,Charles City County
charleston,Charleston
charleston_county,Charleston County
charlestownin,Charlestown
charlotte,Charlotte
charlotte_county,Charlotte County
charlottesville,Charlottesville
charlton_county,Charlton County
charter_township_of_midland,Charter Township Of Midland
charter_township_of_watervliet,Charter Township Of Watervliet
chase_city,Chase City
chaska,Chaska
chatfield,Chatfield
chatham,Chatham
chathamcounty,Chatham County
chatsworth,Chatsworth
chattahoochee,Chattahoochee
chattahoochee_hills,Chattahoochee Hills
chattanooga,Chattanooga
cheboygan,Cheboygan
chelan,Chelan
chelsea,Chelsea
cheney,Cheney
cheraw,Cheraw
cherokee,Cherokee
cherokee_county,Cherokee County
cherry_hills_village,Cherry Hills Village
cherry_valley,Cherry Valley
chesapeake,Chesapeake
cheshire,Cheshire
chester_county,Chester County
chesterfield,Chesterfield
chesterfield_charter_township,Chesterfield Charter Township
chesterfield_county,Chesterfield County
chestertown,Chestertown
chetek,Chetek
cheverly,Cheverly
chevy_chase,Chevy Chase
cheyenne,Cheyenne
chicago_heights,Chicago Heights
chicago_ridge,Chicago Ridge
chickamauga,Chickamauga
chickasha,Chickasha
chicken_ranch_rancheria_tribe,Chicken Ranch Rancheria Tribe
chicotx,Chico
chiefland,Chiefland
childress,Childress
chillicothe,Chillicothe
chilton,Chilton
china_charter_township%2c_(st._clair_co.),China Charter Township%2C (St. Clair Co.)
china_grove,China Grove
chincoteague,Chincoteague
chino,Chino
chino_hills,Chino Hills
chipley,Chipley
choteau,Choteau
chowchilla_city,Chowchilla City
chrisman,Chrisman
christiansburg,Christiansburg
chulavista,City of Chula Vista
church_point,Church Point
cibolo,Cibolo
cicero,Cicero
cincinnati,Cincinnati
cinco_bayou,Cinco Bayou
circleville,Circleville
cisco,Cisco
citronelle,Citronelle
citrus_county,Citrus County
citrus_heights,Citrus Heights
city_borough_of_wrangell,City Borough Of Wrangell
city_of_absecon,City Of Absecon
city_of_alamo_heights,City Of Alamo Heights
city_of_albany,City Of Albany
city_of_allentown,City Of Allentown
city_of_amsterdam,City Of Amsterdam
city_of_andrews,City Of Andrews
city_of_anna,City Of Anna
city_of_anson,City Of Anson
city_of_aubrey,City Of Aubrey
city_of_augusta,City Of Augusta
city_of_aurora,City Of Aurora
city_of_azle,City Of Azle
city_of_bangs,City Of Bangs
city_of_batavia,City Of Batavia
city_of_bel_ridge,City Of Bel Ridge
city_of_belfast,City Of Belfast
city_of_bellefontaine_neighbors,City Of Bellefontaine Neighbors
city_of_bellerive_acres,City Of Bellerive Acres
city_of_bells,City Of Bells
city_of_benicia,City Of Benicia
city_of_beverly,City Of Beverly
city_of_big_lake,City Of Big Lake
city_of_blaine,City Of Blaine
city_of_blanco,City Of Blanco
city_of_bloomington,City Of Bloomington
city_of_blue_lake,City Of Blue Lake
city_of_blue_springs,City Of Blue Springs
city_of_bonham,City Of Bonham
city_of_bordentown,City Of Bordentown
city_of_bovina,City Of Bovina
city_of_brady,City Of Brady
city_of_branson_west,City Of Branson West
city_of_brazoria,City Of Brazoria
city_of_breckenridge_hills,City Of Breckenridge Hills
city_of_brentwood,City Of Brentwood
city_of_brewster,City Of Brewster
city_of_bridgeport,City Of Bridgeport
city_of_bridgeton,City Of Bridgeton
city_of_bridgman,City Of Bridgman
city_of_brier,City Of Brier
city_of_brigantine,City Of Brigantine
city_of_brownfield,City Of Brownfield
city_of_buckner,City Of Buckner
city_of_buda,City Of Buda
city_of_buffalo,City Of Buffalo
city_of_burleson,City Of Burleson
city_of_burlington,City Of Burlington
city_of_butler,City Of Butler
city_of_byrnes_mill,City Of Byrnes Mill
city_of_calabasas,City Of Calabasas
city_of_calverton_park,City Of Calverton Park
city_of_canton,City Of Canton
city_of_carson,City Of Carson
city_of_caruthersville,City Of Caruthersville
city_of_cassville,City Of Cassville
city_of_cedar_park,City Of Cedar Park
city_of_central,City Of Central
city_of_centralia,City Of Centralia
city_of_channing,City Of Channing
city_of_charleston,City Of Charleston
city_of_clairton,City Of Clairton
city_of_clarksville_city,City Of Clarksville City
city_of_clyde_hill,City Of Clyde Hill
city_of_cohoes,City Of Cohoes
city_of_colby,City Of Colby
city_of_colonial_heights,City Of Colonial Heights
city_of_columbus,City Of Columbus
city_of_combine,City Of Combine
city_of_concord,City Of Concord
city_of_connell,City Of Connell
city_of_cornelius,City Of Cornelius
city_of_corning,City Of Corning
city_of_cortland,City Of Cortland
city_of_costa_mesa,City Of Costa Mesa
city_of_cottage_grove,City Of Cottage Grove
city_of_crestwood,City Of Crestwood
city_of_creswell,City Of Creswell
city_of_crisfield,City Of Crisfield
city_of_cuero,City Of Cuero
city_of_cushing,City Of Cushing
city_of_dana_point,City Of Dana Point
city_of_dardenne_prairie,City Of Dardenne Prairie
city_of_davenport,City Of Davenport
city_of_dearborn,City Of Dearborn
city_of_dellwood,City Of Dellwood
city_of_desloge,City Of Desloge
city_of_dixon,City Of Dixon
city_of_downey,City Of Downey
city_of_duquesne,City Of Duquesne
city_of_edgerton,City Of Edgerton
city_of_el_paso,City Of El Paso
city_of_el_reno,City Of El Reno
city_of_elkhart,City Of Elkhart
city_of_ellisville,City Of Ellisville
city_of_ellsinore,City Of Ellsinore
city_of_englewood,City Of Englewood
city_of_escalon,City Of Escalon
city_of_estell_manor,City Of Estell Manor
city_of_eureka,City Of Eureka
city_of_fair_grove,City Of Fair Grove
city_of_fairfax,City Of Fairfax
city_of_fairfield,City Of Fairfield
city_of_fennville,City Of Fennville
city_of_festus,City Of Festus
city_of_firebaugh,City Of Firebaugh
city_of_florissant,City Of Florissant
city_of_fond_du_lac,City Of Fond Du Lac
city_of_forsyth,City Of Forsyth
city_of_framingham,City Of Framingham
city_of_franklin,City Of Franklin
city_of_fredericksburg,City Of Fredericksburg
city_of_frost,City Of Frost
city_of_gardiner,City Of Gardiner
city_of_gillett,City Of Gillett
city_of_glasgow,City Of Glasgow
city_of_glendale,City Of Glendale
city_of_glendora,City Of Glendora
city_of_goleta,City Of Goleta
city_of_goliad,City Of Goliad
city_of_gonzales,City Of Gonzales
city_of_granbury,City Of Granbury
